"QID","itemLabel","itemDescription","P1196","P19","P20","P21","P27","P509","P569"
"Q28837178","Eva Bednářová","Czech painter and illustrator",NA,"""Prague""","""Prague""","""female""","""Czechoslovakia""",NA,"""1937-05-08T00:00:00Z"""
"Q30170182","Johann Gottfried Seutter","German artist (1717–1799)",NA,"""Augsburg""","""Augsburg""","""male""","""Germany""",NA,"""1717-08-08T00:00:00Z"""
"Q24707634","John Roe","British painter; active 1771-1812",NA,"""http://www.wikidata.org/.well-known/genid/52bedcd3a7ab41a4086204413ab2b980""","""http://www.wikidata.org/.well-known/genid/54ac39c4a56b02b446e27df9076a741f""","""male""","""Great Britain"",""United Kingdom of Great Britain and Ireland""",NA,"""http://www.wikidata.org/.well-known/genid/a221e5ef6237c27ab5cb8a1043ec07f2"""
"Q47492674","Gustav Georg Endner","German engraver, 1754-1824",NA,"""Nuremberg""",NA,"""male""","""Germany""",NA,"""1754-05-01T00:00:00Z"",""1754-01-01T00:00:00Z"""
"Q23657165","George Childs","painter and lithographer (1800-1875)",NA,"""http://www.wikidata.org/.well-known/genid/e39d479b67f14fa9bf5f9dd937d30f1f""","""http://www.wikidata.org/.well-known/genid/86be48bddf5afc4aaba43e2c6ea23156""","""male""","""Great Britain"",""United Kingdom of Great Britain and Ireland""",NA,"""1798-01-01T00:00:00Z"""
"Q43532665","A.-J. de Fehrt","Engraver (1723 - 1774)",NA,"""Hurum""",NA,"""male""","""France"",""Norway""",NA,"""1723-01-01T00:00:00Z"""
"Q29436519","Zoan Andrea","Italian engraver",NA,"""Mantua""","""Milan""","""male""",NA,NA,"""1500-01-01T00:00:00Z"""
"Q47790057","Gérard Scotin","French engraver, 1643-1715",NA,"""Antwerp""","""Paris""","""male""","""Kingdom of France""",NA,"""1643-01-01T00:00:00Z"""
"Q23902706","Robert de Launay","French engraver, 1749-1814",NA,"""Paris""","""Paris""","""male""","""France""",NA,"""1749-01-01T00:00:00Z"""
"Q52148216","Antoine Hérisset",NA,NA,NA,"""Paris""","""male""","""France""",NA,"""1685-01-01T00:00:00Z"""
"Q52148315","Henry Ottley",NA,NA,NA,NA,"""male""",NA,NA,"""1811-01-01T00:00:00Z"""
"Q28178791","Paula Gerard","art educator and visual artist",NA,"""Brighton""","""Chicago""","""female""","""United States of America""",NA,"""1907-01-01T00:00:00Z"""
"Q47981949","Romas Viesulas","American painter and lithographer, born in Lithuania",NA,NA,NA,"""male""","""United States of America""",NA,"""1918-01-01T00:00:00Z"""
"Q52063686","Jacques de Favanne","French engraver, 1716-1770",NA,NA,NA,"""male""",NA,NA,"""1716-01-01T00:00:00Z"""
"Q52119054","Charles Wheeler Locke","American painter, 1899-1983",NA,NA,NA,"""male""","""United States of America""",NA,"""1899-01-01T00:00:00Z"""
"Q52148426","Charles Alvah Walker","American artist, 1848-1920",NA,NA,NA,"""male""","""United States of America""",NA,"""1848-01-01T00:00:00Z"""
"Q52154344","Pierre Gabriel Langlois","French Engraver",NA,"""Paris""",NA,"""male""",NA,NA,"""1754-08-12T00:00:00Z"""
"Q24203380","Carlotta Corpron","American photographer (1901-1988)",NA,"""Blue Earth""","""Denton""","""female""","""United States of America""",NA,"""1901-12-09T00:00:00Z"""
"Q27659943","François Liénard","French print publisher",NA,"""http://www.wikidata.org/.well-known/genid/80adea6f7bfbe167e4a159e17be48bad""","""http://www.wikidata.org/.well-known/genid/85a809c38129044343949d1fd3b56b61""","""male""","""France""",NA,"""http://www.wikidata.org/.well-known/genid/9146cce0413e4cf06b9740e39bf01e22"""
"Q21709136","Ben Lassen","American artist",NA,"""Rosenhayn""","""New York City""","""male""","""United States of America""",NA,"""1904-01-01T00:00:00Z"""
"Q30014874","Jean Moyreau","French engraver",NA,"""Orléans""","""Paris""","""male""","""France""",NA,"""1690-01-16T00:00:00Z"""
"Q21810605","John Charles Haley","American artist",NA,"""Minneapolis""","""Richmond""","""male""","""United States of America""",NA,"""1905-09-12T00:00:00Z"",""1905-01-01T00:00:00Z"""
"Q24568945","Antonio Barbey","Flemish-Italian Engraver",NA,NA,NA,"""male""",NA,NA,NA
"Q21818576","Elias Friedensohn","American painter and sculptor",NA,"""New York City""","""Leonia""","""male""","""United States of America""",NA,"""1924-12-12T00:00:00Z"""
"Q50059786","Roderick Mead","American artist",NA,"""South Orange""","""Carlsbad""","""male""","""United States of America""",NA,"""1900-06-25T00:00:00Z"""
"Q28801936","Lili Réthi","Austrian-born artist and illustrator",NA,"""Vienna""","""New York City""","""female""","""Hungary"",""United States of America""",NA,"""1894-11-19T00:00:00Z"""
"Q21995142","Lucia Autorino Salemme","American artist",NA,NA,NA,"""female""","""United States of America""",NA,"""1919-01-01T00:00:00Z"""
"Q22001623","Lew Davis","American artist",NA,"""Jerome""","""Maricopa""","""male""","""United States of America""",NA,"""1910-11-02T00:00:00Z"""
"Q22001876","Louis Monza","American painter",NA,"""Turate""","""Redondo Beach""","""male""","""United States of America""",NA,"""1897-01-01T00:00:00Z"""
"Q21994067","Erich Mallina","Austrian painter",NA,"""Přerov""","""Vienna""","""male""",NA,NA,"""1873-04-09T00:00:00Z"""
"Q28829103","Mariette Pathy Allen","writer, photographer for the transgender, genderfluid, and intersex communities",NA,NA,NA,"""intersex"",""genderfluid"",""transgender""","""United States of America""",NA,"""1940-01-01T00:00:00Z"""
"Q42313483","Olivia Parker","American photographer (born 1941)",NA,"""Boston""",NA,"""female""","""United States of America""",NA,"""1941-01-01T00:00:00Z"""
"Q24736725","Eugen Eduard Schäffer","German artist, 1802-1871",NA,"""Frankfurt""","""Frankfurt""","""male""","""Germany""",NA,"""1802-03-30T00:00:00Z"""
"Q22086423","Nathaniel Dirk","American painter",NA,"""Brooklyn""",NA,"""male""","""United States of America""",NA,"""1895-12-21T00:00:00Z"""
"Q33134321","Johann Hainzelmann","German artist, 1641-1693",NA,"""Augsburg""","""Berlin""","""male""",NA,NA,"""1641-01-01T00:00:00Z"""
"Q24846673","Mary Hansen","American, active c. 1935",NA,NA,NA,"""female""",NA,NA,NA
"Q96749914","Radel","German artist (active 1767-1770)",NA,NA,NA,"""male""","""Germany""",NA,NA
"Q86628436","Ruth Kerkovius","German American artist",NA,"""Berlin""",NA,"""female""",NA,NA,"""1921-06-09T00:00:00Z"""
"Q63073330","Flora Schofield","American painter",NA,NA,NA,"""female""","""United States of America""",NA,"""1873-01-01T00:00:00Z"""
"Q61483727","Jacques de Fornazeris","printmaker (floruit 1594-1622)",NA,NA,NA,"""male""",NA,NA,NA
"Q115272434","Philip Held",NA,NA,NA,NA,NA,NA,NA,"""1920-01-01T00:00:00Z"""
"Q94400089","Eddy Smith",NA,NA,"""Berlin""","""Berlin""","""male""",NA,NA,"""1896-01-01T00:00:00Z"""
"Q94405993","Medard Klein",NA,NA,NA,NA,NA,NA,NA,"""1905-01-01T00:00:00Z"""
"Q57467689","Agnes Lyall","American visual artist (1908-2013)",NA,"""Summit""",NA,"""female""","""United States of America""",NA,"""1908-01-01T00:00:00Z"""
"Q61658678","Anton Spreng","Austrian, 1770 - 1845",NA,"""Vienna"",""Schwechat""","""Vienna""","""male""","""Austrian Empire""",NA,"""1770-03-15T00:00:00Z"""
"Q5603","Andy Warhol","American artist, film director, and producer (1928–1987)","""natural causes""","""Pittsburgh""","""New York City""","""male""","""United States of America""","""heart arrhythmia""","""1928-08-06T00:00:00Z"""
"Q94309193","Rhys Caparn","American artist, 1909",NA,"""Onteora Park Historic District""","""Danbury""","""female""",NA,NA,"""1909-01-01T00:00:00Z"""
"Q94380000","Myer Abel","American artist, 1904-1946",NA,NA,NA,"""male""",NA,NA,"""1904-01-01T00:00:00Z"""
"Q107356116","Master of the Berlin Passion",NA,NA,NA,NA,"""male""","""Germany""",NA,NA
"Q98642761","Georges Pull","French potter, 1810 - 1889",NA,"""Wissembourg""","""15th arrondissement of Paris""","""male""",NA,NA,"""1810-05-10T00:00:00Z"""
"Q62018058","Claude Gautherot","French painter, 1729-1802",NA,"""Paris""","""Paris""","""male""","""France""",NA,"""1729-01-01T00:00:00Z"""
"Q109071149","Frederick Trap Friis",NA,NA,NA,NA,"""male""","""Sweden""",NA,"""1865-01-01T00:00:00Z"""
"Q109830018","Alfred Rosling",NA,NA,NA,NA,"""male""","""United Kingdom""",NA,"""1802-01-01T00:00:00Z"""
"Q109830057","Jodocus Bickart",NA,NA,NA,NA,"""male""","""Germany""",NA,"""1600-01-01T00:00:00Z"""
"Q109830095","Nils Paul Larsen",NA,NA,NA,NA,NA,NA,NA,"""1890-01-01T00:00:00Z"""
"Q109886882","Stefan Martin",NA,NA,NA,NA,NA,NA,NA,"""1936-01-01T00:00:00Z"""
"Q109937979","Leon Gordon Miller",NA,NA,NA,NA,"""male""",NA,NA,"""1917-08-03T00:00:00Z"""
"Q110158608","Filippo Cropanese",NA,NA,NA,NA,"""male""",NA,NA,NA
"Q113562173","Gioacchino Banfi",NA,NA,NA,NA,NA,NA,NA,"""1851-01-01T00:00:00Z"""
"Q113804198","Abraham S. Weiner",NA,NA,NA,NA,NA,NA,NA,"""1897-01-01T00:00:00Z"""
"Q114645756","Angel Abreu",NA,NA,NA,NA,NA,NA,NA,"""1974-01-01T00:00:00Z"""
"Q66439385","Gorazd Šefran","Gorazd Sefran * 10. 12. 1945 , graphic artist nationality: Slovenian sex: male notes: NKP ne 2018/07",NA,"""Ljubljana""",NA,"""male""","""Slovenia"",""Socialist Federal Republic of Yugoslavia""",NA,"""1945-12-10T00:00:00Z"""
"Q94798281","Joseph Christ","German artist, 1732-1788",NA,NA,"""Augsburg""","""male""",NA,NA,"""1731-01-01T00:00:00Z"""
"Q105090124","Frances Marian Hebert","American printmaker",NA,NA,NA,"""female""","""United States of America""",NA,"""1899-01-01T00:00:00Z"""
"Q55219758","Aubrey Schwartz","American artist (born 1928)",NA,NA,"""Afton""","""male""","""United States of America""",NA,"""1928-01-01T00:00:00Z"""
"Q5592","Michelangelo","Italian sculptor, painter, architect and poet (1475–1564)",NA,"""Caprese Michelangelo""","""Rome""","""male""","""Republic of Florence""","""asphyxia"",""infection""","""1475-03-15T00:00:00Z"""
"Q92553278","Ann Didyk","American printmaker",NA,NA,NA,"""female""",NA,NA,"""1916-01-01T00:00:00Z"""
"Q62594002","George Marples","Person; male; Etcher.; printmaker; British; 1869-1939",NA,"""Derby""",NA,"""male""","""United Kingdom""",NA,"""1869-01-01T00:00:00Z"""
"Q65120423","William E. Smith","African American artist",NA,"""Chattanooga""","""California""","""male""","""United States of America""",NA,"""1913-01-01T00:00:00Z"""
"Q111598005","Eleanor Dube","American printmaker, 1946-",NA,NA,NA,NA,NA,NA,"""1946-01-01T00:00:00Z"""
"Q56023198","Giulio Carlo Quadri","Italian architect",NA,"""Rome""",NA,"""male""",NA,NA,"""1649-01-01T00:00:00Z"""
"Q115858895","Benjamin Lander","American, 1844 - 1907",NA,NA,NA,"""male""",NA,NA,"""1844-01-01T00:00:00Z"""
"Q98153068","Carl Hentschel","English printer, photographer, and engraver",NA,NA,NA,"""male""",NA,NA,"""1864-01-01T00:00:00Z"""
"Q53156810","Thomas Watson","(1743/48-1781); Engels; prentkunstenaar; mezzotint-kunstenaar; 1743; Londen (Engeland); 1781; Londen (Engeland)",NA,"""London""","""London""","""male""",NA,NA,"""1743-01-01T00:00:00Z"""
"Q61601259","Roselle osk","American printmaker  (1884–1954)",NA,"""Manhattan""","""New York City""","""female""",NA,NA,"""1884-01-01T00:00:00Z"""
"Q63113087","William Wylie","teaches at Colorado State Univ.; b. 4/29/57; photographer",NA,"""Chicago""",NA,"""male""","""United States of America""",NA,"""1957-04-29T00:00:00Z"""
"Q64532772","William Pettet","American painter",NA,"""Los Angeles""",NA,"""male""","""United States of America""",NA,"""1942-01-01T00:00:00Z"""
"Q97101874","John Jesse Barker","American artist",NA,NA,NA,"""male""",NA,NA,NA
"Q52157141","Frederick Bourchier Taylor","architect",NA,"""Ottawa""","""San Miguel de Allende""","""male""","""Canada""",NA,"""1906-01-01T00:00:00Z"""
"Q52157246","Maltby Sykes","American artist",NA,NA,NA,"""male""","""United States of America""",NA,"""1911-01-01T00:00:00Z"""
"Q52157007","Alan Horton Crane","American painter",NA,NA,NA,"""male""","""United States of America""",NA,"""1901-01-01T00:00:00Z"""
"Q52157122","Phil Paradise","American painter",NA,NA,NA,"""male""","""United States of America""",NA,"""1905-01-01T00:00:00Z"""
"Q75494866","William Soles","American, 1914 - 1967",NA,NA,NA,"""male""","""United States of America""",NA,"""1914-01-01T00:00:00Z"""
"Q53370312","Robert Shaw","American etcher, engraver (1859-1912)",NA,NA,NA,"""male""","""United States of America""",NA,"""1859-01-10T00:00:00Z"""
"Q52157380","Jerome Kaplan","printmaker",NA,NA,NA,"""male""","""United States of America""",NA,"""1920-01-01T00:00:00Z"""
"Q77324906","Hildegarde Haas","American artist",NA,"""Germany""","""Berkeley""","""female""","""United States of America""",NA,"""1926-01-01T00:00:00Z"""
"Q64868069","Len Puttnam","photographer",NA,"""Stoke Newington""",NA,"""male""","""United Kingdom""",NA,"""1907-07-24T00:00:00Z"""
"Q62023472","Jacob Schloss","American photographer (1856-1938)",NA,"""New York City""","""New York City""","""male""","""United States of America""",NA,"""1857-10-01T00:00:00Z"",""1857-01-01T00:00:00Z"",""1856-01-01T00:00:00Z"""
"Q83886296","John Roger Murray","colonial American businessman, art patron, amateur artist 1774-1851",NA,NA,NA,"""male""","""United States of America""",NA,"""1774-01-01T00:00:00Z"""
"Q97010264","Hugh Owen","British photographer (1808–1897)",NA,NA,NA,"""male""",NA,NA,"""1808-01-01T00:00:00Z"""
"Q55124292","Paul Flindt","German goldsmith, engraver and medallist",NA,NA,"""Nuremberg""","""male""","""Germany""",NA,"""1567-10-06T00:00:00Z"""
"Q60767861","Elmer Brown","American artist 1909-1971",NA,"""Pittsburgh""","""Cleveland""","""male""","""United States of America""",NA,"""1909-01-01T00:00:00Z"""
"Q74667626","Albert Potter","born Russia 1903-died 1937",NA,"""republic of Russia"",""Russia""","""United States of America""","""male""","""United States of America""",NA,"""1903-04-20T00:00:00Z"",""1903-01-01T00:00:00Z"""
"Q110082303","Nicholas Takis","American artist",NA,"""New York City""",NA,"""male""","""United States of America""",NA,"""1903-08-22T00:00:00Z"",""1903-01-01T00:00:00Z"""
"Q110111765","Harry Rein","American artist",NA,"""New York City""","""Los Angeles""",NA,"""United States of America""",NA,"""1908-02-13T00:00:00Z"""
"Q77444754","Stephen Ellis","American painter",NA,NA,NA,"""male""",NA,NA,"""1951-01-01T00:00:00Z"""
"Q59644241","Edith R. Wilson","American photographer (1864-1924)",NA,NA,NA,"""female""","""United States of America""",NA,"""1864-01-01T00:00:00Z"""
"Q104819207","Otto E. Hake","German-American painter, 1876-",NA,NA,NA,"""male""","""Germany""",NA,"""1876-12-17T00:00:00Z"""
"Q81952200","Francine Felsenthal","American artist",NA,"""Chicago""",NA,"""female""","""United States of America""",NA,"""1922-01-01T00:00:00Z"""
"Q55713723","Lorenzo Roccheggiani","Italian draftsman and engraver, active 1804-1817",NA,NA,NA,"""male""",NA,NA,NA
"Q55720182","Edith Loring Peirce Getchell","painter and etcher (1855-1940)",NA,"""Bristol""","""Worcester""","""female""","""United States of America""",NA,"""1855-01-25T00:00:00Z"""
"Q84557429","Pierre Mérelle","French painter, 1713-1782",NA,NA,NA,"""male""","""France""",NA,"""1713-01-01T00:00:00Z"""
"Q755","Paul Verlaine","French poet (1844–1896)","""natural causes""","""Metz""","""Paris""","""male""","""France""","""pneumonia""","""1844-03-30T00:00:00Z"""
"Q56033474","Isac Friedlander","Latvian-born American Printmaker, 1890-1968; Latvian/American Printmaker",NA,"""Jelgava""",NA,"""male""","""United States of America""",NA,"""1890-01-01T00:00:00Z"""
"Q56033568","Clara Skinner","American printmaker (1902-1976)",NA,NA,NA,"""female""",NA,NA,"""1902-01-01T00:00:00Z"""
"Q56033662","Giovanni Battista Remondini","Italian (1713-1773)",NA,NA,NA,"""male""",NA,NA,"""1713-01-01T00:00:00Z"""
"Q56033516","Ryah Ludins","American muralist, painter, and teacher","""natural causes""","""Mariupol""","""Hotel Chelsea""","""female""",NA,NA,"""1896-03-28T00:00:00Z"""
"Q56033471","William Leroy Flint","American, 1909-1991; American",NA,NA,NA,"""male""",NA,NA,"""1909-01-01T00:00:00Z"""
"Q94285279","Alfred A. Sessler","artist",NA,"""Milwaukee""","""Madison""","""male""","""United States of America""",NA,"""1909-01-14T00:00:00Z"""
"Q64877559","Richard Dudensing","German-American engraver",NA,"""Germany""","""New York City""","""male""",NA,NA,"""1833-01-01T00:00:00Z"""
"Q76941091","Meissen Manufactory","manufacturer of porcelain goods from 1710",NA,NA,NA,NA,NA,NA,NA
"Q56231075","Joseph Anthony Atchison","sculptor, born Washington, DC 1895-died Washington, DC 1967",NA,NA,NA,"""male""",NA,NA,"""1895-01-01T00:00:00Z"""
"Q108577903","Charles Storer","American painter",NA,"""Boston""",NA,"""male""","""United Kingdom of Great Britain and Ireland"",""United States of America""",NA,"""1817-01-01T00:00:00Z"""
"Q61994738","Wilmer Jennings","visual artist",NA,"""Atlanta""",NA,"""male""",NA,NA,"""1910-01-01T00:00:00Z"""
"Q107253800","John Courtney Sandefur","American artist (1893-1971)",NA,"""Alexandria""","""Pacific Grove""","""male""","""United States of America""",NA,"""1893-05-26T00:00:00Z"""
"Q105602122","Frank McEntee","US American artist",NA,NA,NA,"""male""",NA,NA,NA
"Q97101389","George H. Shorey","American, born 1870",NA,NA,NA,"""male""","""United States of America""",NA,"""1870-09-09T00:00:00Z"""
"Q97102434","Irving G. Lehman","American, 1900 - 1983",NA,NA,NA,"""male""",NA,NA,"""1900-01-01T00:00:00Z"""
"Q97102493","Philip Burnham Hicken","American, 1910 - 1985",NA,NA,NA,"""male""","""United States of America""",NA,"""1910-01-01T00:00:00Z"""
"Q60475605","Giampaolo Poggini","Italian medalist and coin engraver",NA,NA,NA,"""male""",NA,NA,"""1518-01-01T00:00:00Z"""
"Q107379559","James Duard Marshall","American artist",NA,NA,NA,"""male""","""United States of America""",NA,"""1914-09-29T00:00:00Z"""
"Q97340284","Lysippus the Younger","Roman medallist",NA,NA,NA,"""male""",NA,NA,NA
"Q105883017","Dorothy Louise Bowman","American artist (1927- )",NA,"""Hollywood""",NA,"""female""",NA,NA,"""1927-01-20T00:00:00Z"""
"Q58332009","Lloyd William Wulf","American artist",NA,"""Nehawka""","""Omaha""","""male""","""United States of America""",NA,"""1913-09-02T00:00:00Z"""
"Q4298","Vegetius","writer of the Later Roman Empire",NA,NA,NA,"""male""","""Ancient Rome""",NA,"""0400-01-01T00:00:00Z"""
"Q54313787","Clarence Bolton","American painter",NA,NA,NA,"""male""",NA,NA,"""1893-09-16T00:00:00Z"""
"Q77324945","John Battan",NA,NA,NA,NA,"""male""","""United States of America""",NA,"""1943-01-01T00:00:00Z"""
"Q77443267","Dean Fleming",NA,NA,NA,NA,"""male""",NA,NA,"""1933-01-01T00:00:00Z"""
"Q77444299","Peter McCallion",NA,NA,NA,NA,"""male""",NA,NA,NA
"Q5547","Antonio Canova","Italian Neoclassical sculptor (1757–1822)",NA,"""Possagno""","""Venice""","""male""","""Republic of Venice""",NA,"""1757-11-01T00:00:00Z"""
"Q77601169","Wendy Lehman",NA,NA,NA,NA,"""female""",NA,NA,NA
"Q99297904","William John Wilgus","American painter, 1819-1853",NA,"""Troy""","""Claremont""","""male""","""United States of America""",NA,"""1819-01-31T00:00:00Z"""
"Q97704914","Andreas Bretschneider III","German etcher and wood engraver",NA,NA,NA,"""male""",NA,NA,"""1578-01-01T00:00:00Z"""
"Q97706755","Maria Denman","Draughtsman and lithographer; sister-in-law of sculptor John Flaxman",NA,NA,NA,"""female""",NA,NA,"""1776-01-01T00:00:00Z"""
"Q53128960","John Andrew","American artist and engraver (1815-1870)",NA,"""Kingston upon Hull""","""Boston""","""male""","""United Kingdom of Great Britain and Ireland"",""United States of America""",NA,"""1815-03-11T00:00:00Z"""
"Q79607930","Lou Barlow","Wood-engraver and medial illustrator. Lived New York; died aged 102; printmaker; American (USA); 1908-2011",NA,"""New York City""","""New York City""","""male""","""United States of America""",NA,"""1908-01-01T00:00:00Z"""
"Q160448","László Moholy-Nagy","Hungarian artist (1895–1946)","""natural causes""","""Bácsborsód""","""Chicago""","""male""","""Hungary"",""United States of America""","""leukemia""","""1895-07-20T00:00:00Z"""
"Q69776","Germaine Krull","German photographer",NA,"""Poznań""","""Wetzlar""","""female""","""West Germany"",""German Empire"",""France"",""Kingdom of the Netherlands""",NA,"""1897-11-29T00:00:00Z"""
"Q77717","Hans Namuth","American photographer","""accidental death""","""Essen""","""East Hampton""","""male""","""Germany""","""traffic collision""","""1915-03-17T00:00:00Z"""
"Q87023","Marta Hoepffner","German artist and photographer",NA,"""Pirmasens""","""Lindenberg im Allgäu""","""female""","""Germany""",NA,"""1912-01-04T00:00:00Z"""
"Q172346","Luigi Bartolini","Italian painter, writer, poet (1892-1963)",NA,"""Cupramontana""","""Rome""","""male""","""Italy"",""Kingdom of Italy""",NA,"""1892-11-08T00:00:00Z"",""1892-02-08T00:00:00Z"""
"Q104318","Wilhelm Heinrich Ludwig Gruner","German copperplate engraver",NA,"""Dresden""","""Dresden""","""male""","""German Empire""",NA,"""1801-02-24T00:00:00Z"""
"Q118888","Johann Carl Hedlinger","Swiss sculptor",NA,"""Seewen SZ""","""Schwyz""","""male""","""Switzerland"",""Sweden""",NA,"""1691-03-28T00:00:00Z"""
"Q119594","Eduard Mandel","German engraver",NA,"""Berlin""","""Berlin""","""male""","""Kingdom of Prussia""",NA,"""1810-02-15T00:00:00Z"""
"Q152788","Emil Nolde","German artist (1867-1956)",NA,"""Nolde""","""Seebüll""","""male""","""Germany"",""Denmark""",NA,"""1867-08-07T00:00:00Z"""
"Q164775","Georg Baselitz","German artist",NA,"""Kamenz""",NA,"""male""","""Germany"",""Austria""",NA,"""1938-01-23T00:00:00Z"""
"Q168496","Carlo Carrà","Italian painter",NA,"""Quargnento""","""Milan""","""male""","""Italy"",""Kingdom of Italy""",NA,"""1881-02-11T00:00:00Z"""
"Q156890","Ernst Barlach","German expressionist sculptor, printmaker and writer (1870-1938)",NA,"""Wedel""","""Rostock""","""male""","""German Reich""","""heart failure""","""1870-01-02T00:00:00Z"""
"Q192062","Bartolomé Esteban Murillo","Spanish painter (1617 — 1682)",NA,"""Seville""","""Cádiz"",""Seville""","""male""","""Spain""","""death from falling from height""","""1617-12-01T00:00:00Z"""
"Q5827","Pietro Perugino","Italian Renaissance painter of the Umbrian school (1448-1523)","""natural causes""","""Città della Pieve""","""Fontignano""","""male""",NA,"""Black Death""","""1448-01-01T00:00:00Z"""
"Q213637","Herbert Bayer","Austrian architect, photographer, graphic and typographer (1900-1985)",NA,"""Haag am Hausruck""","""Montecito""","""male""","""Austria"",""United States of America""",NA,"""1900-04-05T00:00:00Z"""
"Q258726","Theodore Roszak","American artist (1907-1981)",NA,"""Poznań""","""New York City""","""male""","""United States of America""",NA,"""1907-05-01T00:00:00Z"""
"Q143750","John Rogers","sculptor from the United States",NA,"""Salem""",NA,"""male""","""United States of America""",NA,"""1829-10-03T00:00:00Z"""
"Q123098","Angelica Kauffmann","Swiss-Austrian painter (1741-1807)",NA,"""Chur""","""Rome""","""female""","""Switzerland"",""Three Leagues""",NA,"""1741-10-30T00:00:00Z"""
"Q270658","Jacob Jordaens","Flemish painter, draftsman and designer of prints and tapestries (1593-1678)",NA,"""Antwerp""","""Antwerp""","""male""","""Spanish Netherlands""",NA,"""1593-05-19T00:00:00Z"""
"Q219484","Theocritus","3rd-century BC Greek poet",NA,"""Kos"",""ancient Syracuse""","""Ptolemaic Kingdom""","""male""","""ancient Syracuse""",NA,"""-0400-01-01T00:00:00Z"""
"Q6711","Allen Ginsberg","American poet and writer (1926–1997)","""natural causes""","""Newark""","""East Village""","""male""","""United States of America""","""liver cancer""","""1926-06-03T00:00:00Z"""
"Q123454","Max Bill","Swiss architect, painter and sculptor (1908-1994)","""natural causes""","""Winterthur""","""Berlin""","""male""","""Switzerland""","""myocardial infarction""","""1908-12-22T00:00:00Z"""
"Q159758","J. M. W. Turner","English painter and draftsman (c.1775–1851)",NA,"""Maiden Lane""","""Cheyne Walk""","""male""","""Great Britain"",""United Kingdom of Great Britain and Ireland""","""cholera""","""1775-04-23T00:00:00Z"""
"Q9358","Friedrich Nietzsche","German philosopher (1844–1900)",NA,"""Röcken""","""Weimar""","""male""","""Kingdom of Prussia""","""neurosyphilis""","""1844-10-15T00:00:00Z"""
"Q37693","Paul Gauguin","French painter and printmaker (1848 — 1903)","""natural causes""","""Paris""","""Atuona""","""male""","""France""","""syphilis""","""1848-06-07T00:00:00Z"""
"Q290751","Jean Le Pautre","French artist and engraver",NA,"""Paris""","""Paris""","""male""","""France""",NA,"""1618-01-01T00:00:00Z"""
"Q41166","Jonathan Swift","Anglo-Irish satirist and essayist (1667–1745)",NA,"""Dublin""","""Dublin""","""male""","""Republic of Ireland"",""Kingdom of Ireland""",NA,"""1667-11-30T00:00:00Z"""
"Q67350","Friedrich Sustris","German-Dutch painter, decorator and architect (1540-1599)",NA,"""Italy""","""Munich""","""male""","""Germany"",""Netherlands""",NA,"""1540-01-01T00:00:00Z"""
"Q68231","Otto Maximilian Umbehr","German photographer and journalist (1902-1980)",NA,"""Düsseldorf""","""Hanover""","""male""","""Germany""",NA,"""1902-01-18T00:00:00Z"""
"Q72164","Eugenio Lucas Villaamil","Spanish painter (1858-1918)",NA,"""Madrid""","""Madrid""","""male""","""Spain""",NA,"""1858-01-14T00:00:00Z"""
"Q73182","Heinrich Hoerle","German constructivist artist (1895-1936)",NA,"""Cologne""","""Cologne""","""male""","""Germany""",NA,"""1895-09-01T00:00:00Z"""
"Q75858","Jörg Immendorff","German artist (1945-2007)","""natural causes""","""Bleckede""","""Düsseldorf""","""male""","""Germany""","""amyotrophic lateral sclerosis""","""1945-06-14T00:00:00Z"""
"Q80442","Robert Campin","Dutch painter, first great master of Flemish and Early Netherlandish painting, 1375–1444",NA,"""Valenciennes""","""Tournai""","""male""","""Southern Netherlands""",NA,"""1375-01-01T00:00:00Z"""
"Q82291","Charles Despiau","French sculptor (1874-1946)",NA,"""Mont-de-Marsan""","""13th arrondissement of Paris""","""male""","""France""",NA,"""1874-11-04T00:00:00Z"""
"Q84305","Johann Bernhard Fischer von Erlach","Sculptor and architect from Austria (1656-1723)",NA,"""Graz""","""Vienna""","""male""","""Habsburg monarchy""",NA,"""1656-07-20T00:00:00Z"""
"Q84503","Raoul Hausmann","Austrian photographer and sculptor (1886-1971)",NA,"""Vienna""","""Limoges""","""male""","""Germany"",""Austria""",NA,"""1886-07-12T00:00:00Z"""
"Q86078","Anni Albers","German-American textile artist, weaver and graphic designer, student and teacher at the Bauhaus (1899–1994)",NA,"""Berlin""","""Orange""","""female""","""Germany"",""United States of America""",NA,"""1899-06-12T00:00:00Z"""
"Q88498","Severin Roesen","German-American painter (1815-1872)",NA,"""Boppard""","""Philadelphia""","""male""","""United States of America"",""Kingdom of Prussia""",NA,"""1815-01-01T00:00:00Z"""
"Q89311","Franz Wilhelm Seiwert","German artist (1894-1933)",NA,"""Cologne""","""Cologne""","""male""","""Germany""",NA,"""1894-03-09T00:00:00Z"""
"Q92395","Jimmy Ernst","painter (1920-1984)",NA,"""Cologne""","""New York City""","""male""","""Germany"",""United States of America""",NA,"""1920-06-24T00:00:00Z"""
"Q128623","Giacomo Quarenghi","Italian architect in Russia (1744-1817)",NA,"""Rota d'Imagna""","""Saint Petersburg""","""male""",NA,NA,"""1744-09-19T00:00:00Z"""
"Q117489","Karl Stauffer-Bern","Swiss artist (1857-1891)","""suicide""","""Trubschachen""","""Florence""","""male""","""Switzerland""","""intoxication""","""1857-09-02T00:00:00Z"""
